File Name,positive_score,negative_score,polarity_score,subjectivity_score,avg_sentence_length,percentage_complex_words,complex_word_count,word_count,avg_word_length,syllable_per_word,fog_index,pronoun_count
bctech2045.txt,6,1,0.7142856122449125,0.04402515695581662,22.5,32.075471698113205,51,159,6.352201257861635,2.0817610062893084,9.128301886792453,0
bctech2046.txt,5,1,0.6666665555555741,0.056074765831076956,17.11111111111111,27.102803738317753,29,107,6.616822429906542,2.1588785046728973,6.952855659397716,0
bctech2047.txt,8,2,0.599999940000006,0.06578947325138504,43.6,34.21052631578947,52,152,6.730263157894737,2.1776315789473686,17.57684210526316,0
bctech2048.txt,6,2,0.4999999375000079,0.06722689019137067,35.833333333333336,24.369747899159663,29,119,6.184873949579832,2.0252100840336134,14.430812324929974,0
bctech2049.txt,12,4,0.4999999687500019,0.06584362112821555,28.0,30.04115226337449,73,243,6.316872427983539,2.1358024691358026,11.3201646090535,1
bctech2050.txt,10,2,0.6666666111111158,0.07361963145018631,29.1,31.28834355828221,51,163,6.668711656441718,2.1901840490797544,11.76515337423313,0
bctech2051.txt,11,2,0.6923076390532585,0.06467661659364868,37.333333333333336,36.318407960199,73,201,6.925373134328358,2.298507462686567,15.078606965174131,0
bctech2052.txt,13,1,0.8571427959183717,0.09271523117407132,21.90909090909091,22.516556291390728,34,151,5.9801324503311255,1.9403973509933774,8.853702588801928,0
bctech2053.txt,6,1,0.7142856122449125,0.039999999771428575,24.454545454545453,25.71428571428571,45,175,6.405714285714286,2.0514285714285716,9.884675324675325,2
bctech2054.txt,13,4,0.5294117335640156,0.08292682886377156,16.608695652173914,20.975609756097562,43,205,5.917073170731707,1.9170731707317072,6.727380699893956,0
bctech2055.txt,19,8,0.4074073923182447,0.11946902602004855,16.384615384615383,25.221238938053098,57,226,5.845132743362832,1.8672566371681416,6.654731109598366,0
bctech2056.txt,6,4,0.19999998000000202,0.04255319130828429,16.5,34.46808510638298,81,235,6.536170212765957,2.1531914893617023,6.7378723404255325,2
bctech2057.txt,7,2,0.5555554938271674,0.05844155806206781,26.77777777777778,27.27272727272727,42,154,6.363636363636363,2.0844155844155843,10.820202020202021,0
bctech2058.txt,5,1,0.6666665555555741,0.07317073081499109,56.0,26.82926829268293,22,82,6.390243902439025,2.0,22.507317073170732,0
bctech2059.txt,7,3,0.39999996000000404,0.14705882136678206,21.0,29.411764705882355,20,68,6.529411764705882,2.0588235294117645,8.51764705882353,1
bctech2060.txt,6,1,0.7142856122449125,0.09090908972845338,29.75,36.36363636363637,28,77,6.532467532467533,2.155844155844156,12.045454545454547,0
bctech2061.txt,9,2,0.636363578512402,0.07586206844233057,25.25,41.37931034482759,60,145,6.682758620689655,2.220689655172414,10.265517241379312,0
bctech2062.txt,13,1,0.8571427959183717,0.07291666628689236,22.071428571428573,24.479166666666664,47,192,5.911458333333333,1.96875,8.926488095238097,0
bctech2063.txt,6,2,0.4999999375000079,0.09195402193156296,19.166666666666668,21.839080459770116,19,87,6.287356321839081,2.0,7.7540229885057474,0
bctech2064.txt,5,4,0.11111109876543349,0.04522613042599934,17.85,35.175879396984925,70,199,6.683417085427136,2.1457286432160805,7.280703517587941,0
bctech2065.txt,10,3,0.5384614970414233,0.05726872221467523,29.76923076923077,36.12334801762114,82,227,6.713656387665198,2.1806167400881056,12.052185699762793,0
bctech2066.txt,12,8,0.1999999900000005,0.15624999877929688,28.857142857142858,32.8125,42,128,6.6875,2.265625,11.674107142857144,0
bctech2067.txt,15,4,0.5789473379501401,0.0922330092610048,27.214285714285715,31.06796116504854,64,206,6.533980582524272,2.145631067961165,11.00998613037448,0
bctech2068.txt,13,5,0.4444444197530878,0.07826086922495275,18.0,30.869565217391305,71,230,6.260869565217392,2.121739130434783,7.323478260869566,0
bctech2069.txt,7,5,0.16666665277777895,0.11428571319727893,17.4,28.57142857142857,30,105,6.733333333333333,2.1714285714285713,7.074285714285714,0
bctech2070.txt,6,1,0.7142856122449125,0.10447761038093119,20.4,26.865671641791046,18,67,6.253731343283582,2.014925373134328,8.267462686567164,1
bctech2071.txt,6,4,0.19999998000000202,0.12820512656147273,24.6,35.8974358974359,28,78,6.602564102564102,2.1538461538461537,9.983589743589745,0
bctech2072.txt,8,4,0.3333333055555579,0.1428571411564626,20.428571428571427,34.523809523809526,29,84,6.738095238095238,2.1547619047619047,8.309523809523808,0
bctech2073.txt,7,1,0.7499999062500118,0.11111110956790125,20.8,37.5,27,72,6.791666666666667,2.236111111111111,8.47,0
bctech2074.txt,6,8,-0.14285713265306196,0.1284403657941251,15.909090909090908,39.44954128440367,43,109,6.954128440366972,2.3211009174311927,6.521434528773978,0
bctech2075.txt,13,2,0.7333332844444478,0.0828729277189341,18.705882352941178,30.386740331491712,55,181,6.425414364640884,2.116022099447514,7.603899902502438,1
bctech2076.txt,12,4,0.4999999687500019,0.07441860430502975,18.63157894736842,35.81395348837209,77,215,6.948837209302326,2.302325581395349,7.595887392900858,1
bctech2077.txt,6,5,0.09090908264462885,0.04741379289907848,21.294117647058822,33.62068965517241,78,232,6.331896551724138,2.146551724137931,8.652129817444218,1
bctech2078.txt,22,13,0.2571428497959186,0.13108614183113804,19.375,30.337078651685395,81,267,6.1835205992509366,2.153558052434457,7.871348314606742,1
bctech2079.txt,7,1,0.7499999062500118,0.03587443930101148,18.36842105263158,26.45739910313901,59,223,6.569506726457399,2.1210762331838566,7.453198017465188,1
bctech2080.txt,9,0,0.9999998888889013,0.04864864838568298,25.90909090909091,32.432432432432435,60,185,6.870270270270271,2.1621621621621623,10.493366093366093,1
bctech2081.txt,25,4,0.7241379060642101,0.06290672437547348,20.5,42.950108459869845,198,461,7.156182212581345,2.4403470715835143,8.37180043383948,0
bctech2082.txt,6,2,0.4999999375000079,0.056737588250088025,60.5,23.404255319148938,33,141,6.326241134751773,2.078014184397163,24.293617021276596,1
bctech2083.txt,9,0,0.9999998888889013,0.04306220075089856,20.9375,36.84210526315789,77,209,6.77511961722488,2.263157894736842,8.522368421052631,0
bctech2084.txt,2,1,0.33333322222225925,0.06122448854643901,80.0,24.489795918367346,12,49,6.183673469387755,2.061224489795918,32.097959183673474,0
bctech2085.txt,8,2,0.599999940000006,0.05649717482204986,26.0,31.07344632768362,55,177,6.655367231638418,2.135593220338983,10.524293785310736,0
bctech2086.txt,8,2,0.599999940000006,0.060240963492524315,20.5,28.915662650602407,48,166,6.608433734939759,2.1506024096385543,8.31566265060241,0
bctech2087.txt,2,0,0.99999950000025,0.025974025636700968,37.333333333333336,33.76623376623377,26,77,7.012987012987013,2.272727272727273,15.06839826839827,0
bctech2088.txt,2,7,-0.5555554938271674,0.08411214874661543,18.0,40.18691588785047,43,107,6.97196261682243,2.467289719626168,7.360747663551402,0
bctech2089.txt,2,12,-0.7142856632653098,0.08805031391163325,20.833333333333332,19.49685534591195,31,159,5.886792452830188,1.9685534591194969,8.41132075471698,0
bctech2090.txt,2,0,0.99999950000025,0.01086956515831758,42.0,36.41304347826087,67,184,6.603260869565218,2.2065217391304346,16.945652173913043,0
bctech2091.txt,2,0,0.99999950000025,0.04347825992438566,25.0,30.434782608695656,14,46,6.3478260869565215,2.1739130434782608,10.121739130434783,0
bctech2092.txt,11,1,0.8333332638888947,0.10909090809917356,46.5,30.909090909090907,34,110,6.654545454545454,2.209090909090909,18.723636363636366,0
bctech2093.txt,8,6,0.14285713265306196,0.08536585313801309,16.41176470588235,29.268292682926827,48,164,6.695121951219512,2.176829268292683,6.681779053084648,0
bctech2094.txt,13,3,0.6249999609375024,0.08247422637899883,22.692307692307693,26.288659793814436,51,194,6.597938144329897,2.1288659793814433,9.182077716098336,0
bctech2095.txt,2,0,0.99999950000025,0.014925373022944978,27.375,24.62686567164179,33,134,6.2835820895522385,2.126865671641791,11.048507462686567,0
